rid_temp,first_name,middle_name,last_name,department,institution,ms_id,hired_year,cal_poly_position,education
35,vincent,,bonini,math,,2957775007,2008,Associate Professor,"B.A., University of California, Santa Cruz, 2000; M.A., 2001; Ph.D., 2006."
36,conor,,carroll,,,2962600706,,,
37,uyen,,dinh,,,2961583625,,,
38,sydney,,dye,,,2956241495,,,
39,joshua,,frederick,,,2958454137,,,
40,erin,,pearse,,,2957870013,2012,Associate Professor,"B.S., University of California, Riverside, 1998; M.S., 2001; Ph.D., 2006."
53,asher,,auel,,emory university,1852387685,,,
55,skip,,garibaldi,,emory university,1953542746,,,
56,uzi,,vishne,,bar ilan university,151388213,,,
105,jiansong,,zhou,,university of washington,2274225230,,,
111,david,,noone,,california institute of technology,2498932453,,,
112,christopher,k,walker,,california institute of technology,2135453329,,,
115,steven,,pawson,,goddard space flight center,1741173208,,,
117,j,eric,nielsen,,goddard space flight center,2164295612,,,
120,varavut,,limpasuvan,,coastal carolina university,318489553,,,
125,peter,,ashwin,,university of exeter,2010482217,,,
127,a,s von der,heydt,,utrecht university,2077215099,,,
130,a,f c,haldemann,,california institute of technology,2845683804,,,
132,charles,d,camp,math,,2642246538,2007,Associate Professor,"B.A., University of California, San Diego; 1989; Ph.D., California Institute of Technology, 2004."
133,charles,d,camp,math,,2253912817,2007,Associate Professor,"B.A., University of California, San Diego; 1989; Ph.D., California Institute of Technology, 2004."
134,diana,bernbaum,wilmot,,university of california berkeley,2168458164,,,
135,alan,h,schoenfeld,,university of california berkeley,2516876952,,,
136,mark,,wilson,,university of california berkeley,2479006016,,,
138,william,,zahner,,university of california santa cruz,2594180862,,,
143,angela,c,little,,university of california berkeley,2106637509,,,
144,pamalee,a,brady,,,2679442678,,,
145,john,,chen,,,2599066509,,,
146,danielle,,champney,math,,2600618982,2013,Associate Professor,"B.S., Bowling Green State University, 2007; M.A., University of California, Berkeley, 2010; Ph.D., 2013."
150,ian,,panzer,,,2676080510,,,
151,spencer,,lines,,,2649808134,,,
161,dany,de,cecchis,,university of carabobo,1214522452,,,
162,mary,,thomas,,san diego state university,2310345430,,,
166,maria,,pantoja,,california polytechnic state university,2765124808,,,
181,rose,,duran,,,2761837821,,,
183,jennifer,,hansen,,california polytechnic state university,2485350279,,,
184,emily,,sousa,,california polytechnic state university,2144482149,,,
187,neil,,portnoy,,university of new hampshire,2647778260,,,
189,karen,j,graham,,university of new hampshire,2102672675,,,
191,todd,a,grundmeier,math,university of new hampshire,2313357977,2004,Professor,"B.S., University of New Hampshire, 1997; M.S., 2000; Ph.D., 2003."
192,carole,,simard,,california polytechnic state university,2597753050,,,
201,caixing,,gu,math,california polytechnic state university,2667492816,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
202,shuaibing,,luo,,hunan university,2687735807,,,
213,caixing,,gu,math,california polytechnic state university,2687236907,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
214,caixing,,gu,math,california polytechnic state university,2721847919,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
223,bartosz,,łanucha,,maria curie sklodowska university,2682540296,,,
224,malgorzata,,michalska,,maria curie sklodowska university,2304882334,,,
229,muneo,,chō,,kanagawa university,1395093915,,,
232,caixing,,gu,math,,2673087831,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
234,caixing,,gu,math,california polytechnic state university,2946937569,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
239,hongke,,du,,shaanxi normal university,2512968928,,,
240,caixing,,gu,math,indiana university,2600261057,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
243,caixing,,gu,math,california polytechnic state university,2935813450,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
244,caixing,,gu,math,,2947198374,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
259,caixing,,gu,math,california polytechnic state university,2765057709,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
261,caixing,,gu,math,university of california,2308105287,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
263,caixing,,gu,math,indiana university bloomington,2477701269,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
264,o,,toker,,ohio state university,2877706817,,,
265,hitay,,ozbay,,ohio state university,2147613016,,,
267,caixing,,gu,math,california polytechnic state university,2719473646,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
268,zhengli,,chen,,shaanxi normal university,2621068348,,,
274,eungil,,ko,,ewha womans university,2290823941,,,
275,ji,eun,lee,,sejong university,2804039650,,,
280,caixing,,gu,math,,2973593293,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
282,israel,,gohberg,,tel aviv university,2010904709,,,
283,caixing,,gu,math,indiana university bloomington,2669610262,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
286,caixing,,gu,math,indiana university bloomington,2586101076,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
287,caixing,,gu,math,,2687518925,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
288,caixing,,gu,math,university of california irvine,2581062204,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
290,caixing,,gu,math,indiana university bloomington,2799153121,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
294,caixing,,gu,math,,2889111027,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
295,shuaibing,,luo,,,2889106298,,,
296,caixing,,gu,math,indiana university,2605093005,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
297,caixing,,gu,math,,2947115152,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
298,heidi,,keas,,,2793561742,,,
299,robert,,lee,,,2791573655,,,
300,caixing,,gu,math,,2512904224,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
301,caixing,,gu,math,,2696113748,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
302,zhengli,,chen,,,2713427483,,,
303,caixing,,gu,math,california polytechnic state university,2168382473,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
306,caixing,,gu,math,california polytechnic state university,2643398716,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
307,radu,,teodorescu,,western michigan university,2155712554,,,
308,caixing,,gu,math,,2706438778,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
309,colm,,elliott,,princeton university,2148298293,,,
311,ernest,m,graham,,johns hopkins university,2159211689,,,
314,emily,,hamilton,math,,2804657969,,,
315,henry,,wilton,,,2514232041,,,
316,pavel,,zalesskii,,,1986479720,,,
317,ted,,chinburg,,,120018637,,,
319,d,d,long,,,2123317148,,,
333,emily,,hamilton,math,,2798939052,,,
334,briglde,,mattar,,,2564611590,,,
335,emily,,hamilton,math,medical university of south carolina,2571787279,,,
336,cynthia,,massey,,medical university of south carolina,2639368523,,,
337,julie,,ross,,medical university of south carolina,2205971673,,,
338,sarah,n,taylor,,medical university of south carolina,2165291753,,,
339,debra,l,franko,,,2276554534,,,
341,mona,,villapiano,,,2654679521,,,
342,traci,c,green,,,2096281650,,,
343,dana,,mainelli,,,2547547082,,,
344,lesley,,folensbee,,,1698903824,,,
345,stephen,f,butler,,,2125980115,,,
346,m,meghan,davidson,,,2131943447,,,
348,debbie,,little,,,2547015127,,,
349,maureen,,kearns,,,2705664285,,,
350,simon,h,budman,,,2480898184,,,
353,maciej,,macieszczak,,,1344609711,,,
354,mary,veronica,daly,,atlantic health system,2423847291,,,
355,christina,,bender,,princeton university,2549130167,,,
356,kathryn,e,townsend,,princeton university,2678346667,,,
361,samuel,,smith,,medstar harbor hospital,2605248201,,,
362,steve,,clark,,baylor college of medicine,2338519336,,,
363,sherri,,longo,,ochsner health system,2175038331,,,
364,duncan,,neilson,,legacy health,2142331621,,,
