rid_temp,first_name,middle_name,last_name,department,institution,ms_id,hired_year,cal_poly_position,education
451,ivan,,sarandev,,,2796607632,,,
452,karen,l,black,,,2586888600,,,
453,predrag,,matejic,,,2797969732,,,
455,jennifer,,hansen,,california polytechnic state university,2485350279,,,
456,emily,,sousa,,california polytechnic state university,2144482149,,,
459,neil,,portnoy,,university of new hampshire,2647778260,,,
461,karen,j,graham,,university of new hampshire,2102672675,,,
463,todd,a,grundmeier,math,university of new hampshire,2313357977,2004,Professor,"B.S., University of New Hampshire, 1997; M.S., 2000; Ph.D., 2003."
464,carole,,simard,,california polytechnic state university,2597753050,,,
473,caixing,,gu,math,california polytechnic state university,2667492816,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
474,shuaibing,,luo,,hunan university,2687735807,,,
485,caixing,,gu,math,california polytechnic state university,2687236907,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
486,caixing,,gu,math,california polytechnic state university,2721847919,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
495,bartosz,,łanucha,,maria curie sklodowska university,2682540296,,,
496,malgorzata,,michalska,,maria curie sklodowska university,2304882334,,,
497,muneo,,chō,,kanagawa university,1395093915,,,
504,caixing,,gu,math,,2673087831,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
506,caixing,,gu,math,california polytechnic state university,2946937569,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
511,hongke,,du,,shaanxi normal university,2512968928,,,
512,caixing,,gu,math,indiana university,2600261057,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
515,caixing,,gu,math,california polytechnic state university,2935813450,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
516,caixing,,gu,math,,2947198374,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
531,caixing,,gu,math,california polytechnic state university,2765057709,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
533,caixing,,gu,math,university of california,2308105287,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
535,caixing,,gu,math,indiana university bloomington,2477701269,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
536,o,,toker,,ohio state university,2877706817,,,
537,hitay,,ozbay,,ohio state university,2147613016,,,
539,caixing,,gu,math,california polytechnic state university,2719473646,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
540,zhengli,,chen,,shaanxi normal university,2621068348,,,
546,eungil,,ko,,ewha womans university,2290823941,,,
547,ji,eun,lee,,sejong university,2804039650,,,
549,caixing,,gu,math,,2973593293,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
554,israel,,gohberg,,tel aviv university,2010904709,,,
555,caixing,,gu,math,indiana university bloomington,2669610262,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
558,caixing,,gu,math,indiana university bloomington,2586101076,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
559,caixing,,gu,math,,2687518925,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
560,caixing,,gu,math,university of california irvine,2581062204,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
562,caixing,,gu,math,indiana university bloomington,2799153121,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
566,caixing,,gu,math,,2889111027,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
567,shuaibing,,luo,,,2889106298,,,
568,caixing,,gu,math,indiana university,2605093005,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
569,caixing,,gu,math,,2947115152,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
570,heidi,,keas,,,2793561742,,,
571,robert,,lee,,,2791573655,,,
572,caixing,,gu,math,,2512904224,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
573,caixing,,gu,math,,2696113748,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
574,zhengli,,chen,,,2713427483,,,
577,caixing,,gu,math,california polytechnic state university,2643398716,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
578,radu,,teodorescu,,western michigan university,2155712554,,,
579,caixing,,gu,math,california polytechnic state university,2168382473,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
580,caixing,,gu,math,,2706438778,1998,Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
581,colm,,elliott,,princeton university,2148298293,,,
583,ernest,m,graham,,johns hopkins university,2159211689,,,
586,emily,,hamilton,math,,2804657969,,,
587,henry,,wilton,,,2514232041,,,
588,pavel,,zalesskii,,,1986479720,,,
589,ted,,chinburg,,,120018637,,,
591,d,d,long,,,2123317148,,,
605,emily,,hamilton,math,,2798939052,,,
606,briglde,,mattar,,,2564611590,,,
607,emily,,hamilton,math,medical university of south carolina,2571787279,,,
608,cynthia,,massey,,medical university of south carolina,2639368523,,,
609,julie,,ross,,medical university of south carolina,2205971673,,,
610,sarah,n,taylor,,medical university of south carolina,2165291753,,,
611,debra,l,franko,,,2276554534,,,
613,mona,,villapiano,,,2654679521,,,
614,traci,c,green,,,2096281650,,,
615,dana,,mainelli,,,2547547082,,,
616,lesley,,folensbee,,,1698903824,,,
617,stephen,f,butler,,,2125980115,,,
618,m,meghan,davidson,,,2131943447,,,
620,debbie,,little,,,2547015127,,,
621,maureen,,kearns,,,2705664285,,,
622,simon,h,budman,,,2480898184,,,
625,maciej,,macieszczak,,,1344609711,,,
626,mary,veronica,daly,,atlantic health system,2423847291,,,
627,christina,,bender,,princeton university,2549130167,,,
628,kathryn,e,townsend,,princeton university,2678346667,,,
633,samuel,,smith,,medstar harbor hospital,2605248201,,,
634,steve,,clark,,baylor college of medicine,2338519336,,,
635,sherri,,longo,,ochsner health system,2175038331,,,
636,duncan,,neilson,,legacy health,2142331621,,,
637,alfred,g,robichaux,,ochsner health system,2087852601,,,
639,thomas,j,garite,,university of california irvine,163580776,,,
643,susan,,kashubeckwest,,university of missouri st louis,1196141976,,,
644,emily,,hamilton,math,,2253873653,,,
648,elizabeth,s,allman,,university of north carolina at asheville,2257717245,,,
650,karl,,mallon,,,2694116398,,,
651,emily,,hamilton,math,,2571805969,,,
652,manu,,black,,,2660084915,,,
653,betsi,,beem,,,2646662628,,,
654,julius,,abs,,,2567323997,,,
657,michael,c,glaude,,princeton university,2764249998,,,
658,maciej,,macieszczak,,princeton university,2763078263,,,
660,emily,,hamilton,math,,2629108282,,,
661,ebi,,kimanani,,,2657366919,,,
663,christa,d,fairchild,,princeton university,2565814056,,,
664,isabelle,,lafortune,,princeton university,2562550850,,,
665,emily,,hamilton,math,,2578771699,,,
666,elizabeth,,wright,,,2331665906,,,
668,vippal,,savani,,cardiff university,2169338439,,,
673,sean,,thomas,,emory university,2522512171,,,
675,m,v,daly,,,2682660466,,,
676,k,,townsend,,,2007541863,,,
685,emily,,hamilton,math,rice university,2687170972,,,
687,emily,,hamilton,math,,2604923560,,,
688,emily,,hamilton,math,california polytechnic state university,2237976866,,,
689,sally,,hakim,,,2955056157,,,
690,emily,,hamilton,math,,2953928674,,,
691,sam,,heilman,,,2954075584,,,
692,marissa,,lockwood,,,2950060708,,,
693,emily,,hamilton,math,,2899008981,,,
694,pooky,,knightsmith,,,2752678777,,,
695,emily,,hamilton,math,,2753816251,,,
696,mary,jo,dudley,,,2804552310,,,
697,emily,,hamilton,math,,2804350762,,,
698,emily,,hamilton,math,,2536234166,,,
699,mark,d,mann,,,2810932256,,,
700,emily,,hamilton,math,,2270781634,,,
701,emily,,hamilton,math,,2139175283,,,
703,emily,,hamilton,math,,2937266741,,,
706,yasushi,,murakami,,,2492306818,,,
707,hirokazu,,hara,,,2010799956,,,
708,tetsuo,,okada,,,2477134225,,,
709,hiroshi,,hashizume,,,2044270329,,,
710,makoto,,kii,,,2657825525,,,
711,yasunobu,,ishihara,,,2585715970,,,
712,michiko,,ishikawa,,,2675372630,,,
713,mayumi,,shimamura,,,2098766300,,,
714,shinichi,,mihara,,,2960631233,,,
715,goro,,kato,math,,2691472229,1981,FERP,"B.S., Shizuoka University, Japan, 1972; M.A., West Virginia University, 1974; Ph.D., University of Rochester, 1979."
716,kohji,,hanasaki,,,2081284813,,,
717,sanji,,hagishita,,,2582566940,,,
718,masafumi,,fujimoto,,,2935961289,,,
719,goro,,kato,math,,2110491787,1981,FERP,"B.S., Shizuoka University, Japan, 1972; M.A., West Virginia University, 1974; Ph.D., University of Rochester, 1979."
738,kenichi,,amagasaki,,,1139148603,,,
739,atsushi,,sasaki,,,2785254813,,,
742,hideaki,,nukui,,,1299058820,,,
743,hirofumi,,naganuma,,,2133100429,,,
750,sadahiro,,ito,,university of yamanashi,2101659200,,,
756,naoya,,hiramatsu,,,2653514291,,,
766,richard,l,amoroso,,,2161874596,,,
771,弘道,,上野,,,2768109322,,,
772,吾郎,,加藤,,,2758185458,,,
773,正二郎,,柴田,,,2755339949,,,
776,寛司,,三原,,,2098551620,,,
777,吾郎,,加藤,,,2888200557,,,
781,goro,,kato,math,,2479728981,1981,FERP,"B.S., Shizuoka University, Japan, 1972; M.A., West Virginia University, 1974; Ph.D., University of Rochester, 1979."
782,kazuo,,nishimura,,,1992409511,,,
803,masumi,,yamakawa,,,2993582675,,,
804,kiyoshi,,ezumi,,,2209949991,,,
805,kenichi,,takeda,,,2119801893,,,
807,isao,,horibe,,,2936448153,,,
809,toshio,,fujita,,kyoto university,2153079513,,,
818,keiji,,harashima,,university of tokyo,2035072419,,,
819,junichiro,,nakahara,,university of tokyo,2522047487,,,
821,goro,,kato,math,,2714275818,1981,FERP,"B.S., Shizuoka University, Japan, 1972; M.A., West Virginia University, 1974; Ph.D., University of Rochester, 1979."
824,柏木,,賢治,,,2598539435,,,
826,梧郎,,加藤,,,2597923377,,,
827,tadao,,terasawa,,,2935834998,,,
828,toshihiko,,okada,,,2304751287,,,
829,megumi,,kanda,,,2706171421,,,
835,goro,,kato,math,,2936433464,1981,FERP,"B.S., Shizuoka University, Japan, 1972; M.A., West Virginia University, 1974; Ph.D., University of Rochester, 1979."
844,goro,,kato,math,,2342384510,1981,FERP,"B.S., Shizuoka University, Japan, 1972; M.A., West Virginia University, 1974; Ph.D., University of Rochester, 1979."
866,goro,,kato,math,institute for advanced study,2134144677,1981,FERP,"B.S., Shizuoka University, Japan, 1972; M.A., West Virginia University, 1974; Ph.D., University of Rochester, 1979."
870,makoto,,ide,,,2115650426,,,
875,goro,,kato,math,,2687064060,1981,FERP,"B.S., Shizuoka University, Japan, 1972; M.A., West Virginia University, 1974; Ph.D., University of Rochester, 1979."
876,tetuo,,tomiyama,,,2019836400,,,
877,yasuo,,yone,,,2185546039,,,
878,yoshitaro,,kato,,,2313895313,,,
879,jun,,kanda,,,2641754713,,,
880,takeo,,koyanagi,,,2319520252,,,
881,shogoro,,uchida,,,2331819046,,,
882,goro,,kato,math,,2680937799,1981,FERP,"B.S., Shizuoka University, Japan, 1972; M.A., West Virginia University, 1974; Ph.D., University of Rochester, 1979."
883,sasaku,,tanaka,,,2332868551,,,
884,shoichiro,,nagai,,,2319314982,,,
885,takafumi,,kanazawa,,,2479312319,,,
886,goro,,kato,math,,2326043908,1981,FERP,"B.S., Shizuoka University, Japan, 1972; M.A., West Virginia University, 1974; Ph.D., University of Rochester, 1979."
887,anton,,kaul,math,tufts university,2979736471,2003,Professor,"B.S., University of California, Davis, 1994; M.S., Oregon State University, 1996; Ph.D., 2000."
888,anton,,kaul,math,,2980080692,2003,Professor,"B.S., University of California, Davis, 1994; M.S., Oregon State University, 1996; Ph.D., 2000."
889,mauricio,,gutierrez,,,2170482404,,,
890,anton,,kaul,math,california polytechnic state university,2973286284,2003,Professor,"B.S., University of California, Davis, 1994; M.S., Oregon State University, 1996; Ph.D., 2000."
891,ignacio,,bello,,,2105555782,,,
892,jack,rolf,britton,,,2798741274,,,
893,anton,,kaul,math,,2979756172,2003,Professor,"B.S., University of California, Davis, 1994; M.S., Oregon State University, 1996; Ph.D., 2000."
905,a,,kadem,,yahoo,2699511674,,,
906,m,,kirane,,university of la rochelle,2805959277,,,
909,sabin,,nsanzimana,,,2951773701,,,
910,c,m,kirk,,,2285123098,,,
911,jean,paul,uwizihiwe,,,2696574074,,,
912,heiner,c,bucher,,,2153915395,,,
915,c,m,kirk,,northwestern university,2846873174,,,
917,c,m,kirk,,california polytechnic state university,2556479314,,,
918,a,t,jones,,,2678908874,,,
919,c,m,kirk,,,2720296066,,,
925,alister,,jones,,university of waikato,2658010661,,,
926,c,m,kirk,,university of waikato,2317953195,,,
927,c,m,kirk,,,2703654851,,,
928,barrie,m,peake,,,1717828425,,,
929,brian,h,robinson,,,2249118709,,,
930,jim,,simpson,,,2259787303,,,
939,a,t,jones,,,2664885704,,,
940,c,m,kirk,,,2703365671,,,
941,c,m,kirk,,,2802571580,,,
942,l,r,ritter,,,3002307556,,,
943,i,j,miller,,,2493896424,,,
944,n,k,mccallum,,,2701840147,,,
945,c,m,kirk,,,2644863925,,,
946,b,m,peake,,,2532139034,,,
947,s,,dekker,,,1894724628,,,
948,f,s van,halem,,,2112750534,,,
949,c,m,kirk,,,2112217337,,,
950,j,,krikke,,,2120522552,,,
951,rfc,,claridge,,,2170436247,,,
952,c,m,kirk,,,2652019141,,,
953,b,m,peake,,,2645015730,,,
954,c,m,kirk,,,2021502897,,,
955,d,m,bibby,,,2597344812,,,
956,c,m,kirk,,,2581897918,,,
957,p,h,winsley,,,2701536911,,,
958,j,,howardmartin,,,2722945911,,,
959,c,m,kirk,,,2579045497,,,
960,l,e,holt,,johns hopkins university,2628300796,,,
961,herbert,c,tidwell,,johns hopkins university,2429991239,,,
962,c,m,kirk,,johns hopkins university,2142549790,,,
963,c,m,kirk,,,2286892050,,,
983,madhu,,mazumdar,,,2000274484,,,
984,mathur,,vandana,,,2570592945,,,
985,kitt,,michael,,,2571463277,,,
986,lu,,genmin,,,2321825880,,,
988,hollenbach,,stanley,,,2571128187,,,
991,mark,,karbarz,,,2575399068,,,
1009,garret,,vincent,,boston children s hospital,2615403867,,,
1014,john,,wiersch,,boston children s hospital,2805310989,,,
1015,markus,,tschurtschenthaler,,university of cambridge,2044512524,,,
1016,chiyo,,shiota,,boston children s hospital,2306237179,,,
1017,george,k,gittes,,boston children s hospital,2998445386,,,
1019,kevin,p,mollen,,boston children s hospital,2942520783,,,
1020,arthur,,kaser,,university of cambridge,2013729717,,,
1021,richard,s,blumberg,,harvard university,2015591748,,,
1028,pratikhya,,pratikhya,,,2719077024,,,
1034,elizabeth,k,lee,,,2911863555,,,
1044,ward,m,richardson,,,2099620790,,,
1047,david,g,binion,,,2711242911,,,
1048,mark,t,gladwin,,university of pittsburgh,2257850766,,,
1051,richard,,siggers,,university of pittsburgh,2598806173,,,
1054,feras,,alkhudari,,university of pittsburgh,2488591310,,,
1063,zachary,,grant,,university of pittsburgh,2073146400,,,
1065,dennis,,slagle,,university of pittsburgh,1963971924,,,
1066,jose,,paredes,,university of pittsburgh,2437080877,,,
1068,george,k,gittes,,university of pittsburgh,2178630567,,,
1072,gregory,s,hoeker,,virginia tech,2281828519,,,
1078,janet,m,leeds,,,2102111529,,,
1080,pratikhya,,pratikhya,,,1518229501,,,
1106,alexander,,gold,,,2871636400,,,
1113,miyoung,,park,,university of pennsylvania,2598821561,,,
1117,katherine,j,sciuto,,university of utah,2495606251,,,
1119,mohamed,e,salama,,university of utah,2174639544,,,
1127,nicholas,,mykins,,university of north carolina at chapel hill,2239511644,,,
1142,alex,,gold,,,2312973074,,,
1152,khanh,,bui,,,2984402278,,,
1155,sungjin,,park,,agency for science technology and research,2223789896,,,
1157,namyoung,,kang,,agency for science technology and research,2120985733,,,
1158,hanjo,,kim,,national university of singapore,2163431742,,,
1160,hyungho,,ha,,national university of singapore,2320114775,,,
1161,marc,,vendrell,,agency for science technology and research,2106520601,,,
1162,junseok,,lee,,national university of singapore,2589993452,,,
1163,yogeswari,,chandran,,agency for science technology and research,2076039863,,,
1166,seongwook,,yun,,agency for science technology and research,2130159126,,,
1169,shawn,m,bauer,,millennium pharmaceuticals,2203085504,,,
1170,erick,a,goldman,,millennium pharmaceuticals,2171720920,,,
1171,wenrong,,huang,,millennium pharmaceuticals,2118667606,,,
1172,ting,,su,,millennium pharmaceuticals,2170775880,,,
1173,lingyan,,wang,,millennium pharmaceuticals,2197266618,,,
1174,john,,woolfrey,,millennium pharmaceuticals,2300452548,,,
1175,yanhong,,wu,,millennium pharmaceuticals,2298597978,,,
1176,jingmei,,zuckett,,millennium pharmaceuticals,1992384467,,,
1177,ann,e,arfsten,,millennium pharmaceuticals,2824355816,,,
1178,brian,,huang,,millennium pharmaceuticals,2141916365,,,
1179,jaya,,kothule,,millennium pharmaceuticals,2555252287,,,
1181,bridget,,may,,millennium pharmaceuticals,2555000136,,,
1182,uma,,sinha,,millennium pharmaceuticals,1966095154,,,
1183,paul,,wong,,millennium pharmaceuticals,2304432588,,,
1185,robert,m,scarborough,,millennium pharmaceuticals,2947753925,,,
1186,bingyan,,zhu,,millennium pharmaceuticals,2918709211,,,
1187,terk,shuen,lee,,agency for science technology and research,2483866291,,,
1188,ying,swan,ho,,agency for science technology and research,2133468942,,,
1193,melissa,a,mcmanus,,touro university california,2559396005,,,
1194,ali,a,khalessi,,new york university,2783692153,,,
1196,jahanzeb,,ashraf,,university of california irvine,2557339137,,,
1198,takaki,,yoshikawa,,,2304828888,,,
1199,toru,,aoyama,,,2149586835,,,
1200,kentaro,,sakamaki,,yokohama city university,2055341847,,,
1201,takasi,,oshima,,,2972990952,,,
1203,shenli,,zhang,,national university of singapore,2104470719,,,
1204,nur,sabrina,sapari,,national university of singapore,1980586409,,,
1205,richie,,soong,,national university of singapore,1913968524,,,
1206,iain,,tan,,national university of singapore,2428917233,,,
1207,xiu,bin,chan,,agency for science technology and research,2649514384,,,
1208,dan,,bottomley,,university of leeds,2893505455,,,
1209,lindsay,c,hewitt,,,2484179227,,,
1210,tomio,,arai,,,2132866669,,,
1212,david,,epstein,,national university of singapore,2540709272,,,
1213,takashi,,ogata,,,2134650650,,,
1214,yoichi,,kameda,,,2159095645,,,
1215,yohei,,miyagi,,,2158475908,,,
1216,akira,,tsuburaya,,,2209558044,,,
1217,satoshi,,morita,,kyoto university,2142790147,,,
1218,heike,i,grabsch,,,2086668507,,,
1225,qinjie,,zhou,,,2340356716,,,
1230,laura,y,martin,,,2113993642,,,
1254,h,l,lim,,agency for science technology and research,2318643907,,,
1255,sze,wai,ng,,agency for science technology and research,2321034408,,,
1256,niki,s c,wong,,agency for science technology and research,2145739663,,,
1257,geoffrey,,koh,,agency for science technology and research,2101883902,,,
1258,leah,,vardy,,agency for science technology and research,2315539486,,,
1261,bernard,,loo,,agency for science technology and research,2467685411,,,
1264,ronald,d,ennis,,rutgers university,2793038923,,,
1280,eric,s,hager,,university of pittsburgh,1985889883,,,
1286,michele,d,bronson,,,2703813316,,,
1291,wendy,,ochoa,,,2906150569,,,
1292,amy,,gaona,,,2912985530,,,
1293,yesenia,,salcedo,,,2923872905,,,
1294,georgina,espino,bardales,,,2924525842,,,
1295,veronica,ahumada,newhart,,university of california irvine,2223006347,,,
1297,guadalupe,,diaz,,,2761042713,,,
1299,ellen,,litkowski,,purdue university,2922346619,,,
1300,katrina,,schmerold,,purdue university,2768134038,,,
1301,james,,elicker,,purdue university,1968114365,,,
1302,sara,a,schmitt,,purdue university,2064059814,,,
1303,david,j,purpura,,purdue university,2155438519,,,
1319,deogracias,,canivel,,,2762978012,,,
1321,e,,escobar,,,2762185023,,,
1322,kenneth,,der,,,2887516968,,,
1324,j,m,leeds,,,2979819218,,,
1330,j,,landreneau,,boston children s hospital,2485735966,,,
1338,joyce,,lin,math,immunogen inc,2441154369,2013,Associate Professor,"B.A., University of Virginia, 2004; Ph.D., University of North Carolina at Chapel Hill, 2009."
1339,alexandru,c,lazar,,immunogen inc,2108642979,,,
1351,sabrina,,kataoka,,,2714657049,,,
1352,george,,farkas,,,2682877960,,,
1353,wai,,lo,,,2122932320,,,
1354,hong,,lin,,,2236755575,,,
1355,weijen,,hsia,,,2159292257,,,
1356,colin,,yates,,,2298412358,,,
1357,verne,,hornback,,,2343838415,,,
1358,jim,,elmer,,,2308410563,,,
1359,wilbur,g,catabay,,,2495863805,,,
1360,mohammad,r,mirabedini,,,2549527197,,,
